Kategori,Isi
Keuangan,"Transfer Rp 48,000,000 ke Bank BRI rek 4017002164 a/n Rizky Pratama."
HRD,Data Karyawan: Dewi Lestari (NIK: 0075402295555957) Gaji Rp 10jt.
IT Security,Peringatan: Akses server via IP 98.124.72.75 dengan API Key ODK7ISKVOBBMY64U7TYA terdeteksi.
HRD,Data Karyawan: Dewi Lestari (NIK: 1566749015616033) Gaji Rp 16jt.
Keuangan,"Transfer Rp 21,000,000 ke Bank Mandiri rek 5321055704 a/n Rizky Pratama."
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 255.224.202.137 dengan API Key W3A3B0CDK64W96NREEKP terdeteksi.
IT Security,Peringatan: Akses server via IP 123.144.205.179 dengan API Key OMGV2I88LBIEFXIM4Y5P terdeteksi.
Keuangan,"Transfer Rp 30,000,000 ke Bank BNI rek 1342136498 a/n Ahmad Hidayat."
Strategi,Proyek Strategis 2026: Rencana akuisisi Garuda.
Keuangan,"Transfer Rp 69,000,000 ke Bank BNI rek 4553268948 a/n Siti Aminah."
HRD,Data Karyawan: Budi Santoso (NIK: 1221594067331253) Gaji Rp 38jt.
Keuangan,"Transfer Rp 28,000,000 ke Bank BCA rek 1024079054 a/n Rizky Pratama."
Keuangan,"Transfer Rp 11,000,000 ke Bank Mandiri rek 3249221967 a/n Dewi Lestari."
IT Security,Peringatan: Akses server via IP 87.222.56.78 dengan API Key HFBGW6RWX75MRSY5SV27 terdeteksi.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 9071270718666208) Gaji Rp 47jt.
IT Security,Peringatan: Akses server via IP 5.255.1.224 dengan API Key RQS2U2O8CD9RM267DHFM terdeteksi.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 201.172.30.228 dengan API Key SBDTCBKODH0XWAV4F1G9 terdeteksi.
Keuangan,"Transfer Rp 32,000,000 ke Bank BCA rek 0461935916 a/n Ahmad Hidayat."
Keuangan,"Transfer Rp 67,000,000 ke Bank BRI rek 8360328974 a/n Dewi Lestari."
IT Security,Peringatan: Akses server via IP 228.163.213.16 dengan API Key 27PPTMSV5KXLMXVBPQ3D terdeteksi.
IT Security,Peringatan: Akses server via IP 216.220.229.49 dengan API Key DV0CSAJL6L7O8KVUI78P terdeteksi.
HRD,Data Karyawan: Ahmad Hidayat (NIK: 8833437090035954) Gaji Rp 20jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
IT Security,Peringatan: Akses server via IP 242.173.86.183 dengan API Key RZSG21DHIM97T3R97Y3Q terdeteksi.
IT Security,Peringatan: Akses server via IP 250.83.128.87 dengan API Key QO2U47KNI3VXPY5DD845 terdeteksi.
Keuangan,"Transfer Rp 42,000,000 ke Bank Mandiri rek 0338042159 a/n Dewi Lestari."
Keuangan,"Transfer Rp 66,000,000 ke Bank BNI rek 9126630359 a/n Ahmad Hidayat."
IT Security,Peringatan: Akses server via IP 165.255.27.215 dengan API Key 3K2ZZNE0DT42XDA72KPW terdeteksi.
Keuangan,"Transfer Rp 20,000,000 ke Bank BCA rek 7735307269 a/n Ahmad Hidayat."
HRD,Data Karyawan: Ahmad Hidayat (NIK: 0591456926470071) Gaji Rp 26jt.
IT Security,Peringatan: Akses server via IP 209.40.240.88 dengan API Key LOMKNB29IK42WUH8XO16 terdeteksi.
Keuangan,"Transfer Rp 44,000,000 ke Bank BNI rek 4228611955 a/n Budi Santoso."
HRD,Data Karyawan: Budi Santoso (NIK: 9067307024667962) Gaji Rp 45jt.
Strategi,Proyek Strategis 2026: Rencana akuisisi Nusantara.
